question,expected_answer,expected_citation,actual_answer,actual_citation,correctness,answer_score,no_of_citation_correct
"What is React?","React is a JavaScript library developed by Facebook for building user interfaces. It allows developers to create reusable UI components and manage application state efficiently.","React-handbook.pdf","","",,"",""
"How does React handle DOM events?","React uses SyntheticEvent objects to handle DOM events, which wrap native browser events to provide consistent cross-browser behavior. Event handlers are attached using JSX syntax like onClick.","React-handbook.pdf","","",,"",""
"What is JSX in React?","JSX is a syntax extension for JavaScript that looks similar to HTML and is used in React to describe what the UI should look like. It gets compiled to React.createElement() calls.","React-handbook.pdf","","",,"",""
"What are React components?","React components are reusable, independent pieces of UI that can be composed together to build complex user interfaces. They can be functional or class-based components.","React-handbook.pdf","","",,"",""
"What is React state?","React state is an object that determines how a component renders and behaves. It represents the component's local data that can change over time and trigger re-renders when updated.","React-handbook.pdf","","",,"",""
"How do you pass data between React components?","Data is passed between React components using props (properties), which allow parent components to pass data down to child components.","React-handbook.pdf","","",,"",""
"What is the virtual DOM in React?","The virtual DOM is a JavaScript representation of the actual DOM that React uses to optimize rendering performance by batching updates and minimizing direct DOM manipulation.","React-handbook.pdf","","",,"",""
"How do you handle forms in React?","React handles forms using controlled components where form data is handled by React state, or uncontrolled components where form data is handled by the DOM itself.","React-handbook.pdf","","",,"",""
"What are React hooks?","React hooks are functions that let you use state and other React features in functional components. Common hooks include useState, useEffect, useContext, etc.","React-handbook.pdf","","",,"",""
"What is the difference between props and state in React?","Props are read-only data passed from parent to child components, while state is local data that belongs to a component and can be changed over time.","React-handbook.pdf","","",,"",""
